v1	v2	hic_w
Id149620	Id81827	302
Id362535	Id81827	349
Id43077	Id81827	1073
Id43077	Id90875	664
Id362535	Id90875	171
Id193037	Id43077	171
Id362535	Id43077	514
Id213705	Id81827	96
Id149620	Id193037	42
Id81827	Id90875	461
Id193037	Id362535	63
Id273313	Id81827	131
Id149620	Id90875	155
Id149620	Id43077	391
Id213705	Id90385	24
Id193037	Id90875	86
Id193037	Id81827	154
Id213705	Id43077	114
Id273313	Id43077	135
Id213705	Id90875	36
Id273313	Id90875	63
Id149620	Id362535	142
Id193037	Id60255	1
Id273313	Id362535	62
Id321799	Id90875	9
Id43077	Id90385	10
Id149620	Id213705	24
Id273313	Id90385	13
Id149620	Id273313	25
Id213705	Id362535	26
Id362535	Id90385	5
Id149620	Id321793	1
Id193037	Id213705	17
Id321793	Id81827	11
Id321793	Id43077	7
Id81827	Id90385	23
Id193037	Id273313	23
Id149620	Id60255	1
Id193037	Id321799	7
Id213705	Id273313	22
Id321799	Id43077	3
Id193037	Id321793	6
Id321793	Id90875	1
Id90385	Id90875	6
Id321793	Id362535	2
Id43077	Id60255	1
Id321799	Id81827	3
Id60255	Id81827	2
Id193037	Id90385	1
Id149620	Id90385	1
